ordem,status,canal,tipo,titulo,arquivo_local,media_url,media_urls,legenda,publish_at,fonte,slug
11,PENDENTE_REVISAO,instagram,post_imovel_card,Terreno Haras Camping Club,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\11-terreno-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/11-terreno-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/11-terreno-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg,"Terreno Haras Camping Club

1.022 m2, nascente e final de rua.

Valor: R$ 210.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-08T12:30-03:00,,terreno-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca
12,PENDENTE_REVISAO,instagram,post_imovel_card,Ponto Comercial Multiplace,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\cards-imoveis\12-ponto-comercial-multiplace-para-locacao-felicia.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/12-ponto-comercial-multiplace-para-locacao-felicia.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/12-ponto-comercial-multiplace-para-locacao-felicia.jpg,"Ponto Comercial Multiplace

81 m² ao lado do Shopping Conquista Sul.

Aluguel: R$ 6.500 / mes

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos",2026-07-08T19:30-03:00,,ponto-comercial-multiplace-para-locacao-felicia
13,PENDENTE_REVISAO,instagram,carrossel_imovel,Carrossel - Casa Caminho do Parque,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\carrosseis\casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista\01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/01-capa.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/02-contexto.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/03-dados.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/04-perfil.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista/05-cta.jpg,"Casa Caminho do Parque em destaque.

Área gourmet, piscina aquecida e 3 suítes.

Arraste para ver os pontos principais e fale com a Priscila para receber a ficha completa.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-09T12:30-03:00,,casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista
14,PENDENTE_REVISAO,instagram,carrossel_imovel,Carrossel - Casa Parque dos Ipes I,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\carrosseis\casa-terrea-a-venda-parque-dos-ipes-i-boa-vista\01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/01-capa.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/02-contexto.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/03-dados.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/04-perfil.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-terrea-a-venda-parque-dos-ipes-i-boa-vista/05-cta.jpg,"Casa Parque dos Ipes I em destaque.

Casa térrea com tecnologia, energia solar e automação.

Arraste para ver os pontos principais e fale com a Priscila para receber a ficha completa.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-09T19:30-03:00,,casa-terrea-a-venda-parque-dos-ipes-i-boa-vista
15,PENDENTE_REVISAO,instagram,carrossel_imovel,Carrossel - Casa Duplex Boa Vista,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\carrosseis\casa-duplex-a-venda-boa-vista\01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/01-capa.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/01-capa.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/02-contexto.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/03-dados.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/04-perfil.jpg;https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/carrosseis/casa-duplex-a-venda-boa-vista/05-cta.jpg,"Casa Duplex Boa Vista em destaque.

500 m2, lazer completo, energia solar e poco artesiano.

Arraste para ver os pontos principais e fale com a Priscila para receber a ficha completa.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-10T12:30-03:00,,casa-duplex-a-venda-boa-vista
16,PENDENTE_REVISAO,instagram,noticia_card,FGTS e MCMV no radar,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\noticias\01-fgts-mcmv-radar.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/01-fgts-mcmv-radar.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/01-fgts-mcmv-radar.jpg,"Notícia para acompanhar: o FGTS estuda ajustes no Minha Casa Minha Vida para ampliar poder de compra em algumas faixas.

Ainda não é regra aprovada. Para quem está comprando em Vitória da Conquista, o ponto é simples: simule antes, compare cenários e evite decidir só pelo valor da parcela.

Fonte: ABECIP, 30/06/2026.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-10T19:30-03:00,https://www.abecip.org.br/imprensa/noticias/fgts-estuda-reduzir-juros-do-mcmv-para-ampliar-poder-de-compra-metro-quadrado,
17,PENDENTE_REVISAO,instagram,infografico_funil,Termometro local,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\noticias\02-termometro-local-crm.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/02-termometro-local-crm.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/02-termometro-local-crm.jpg,"Termometro local da semana, sem expor dados pessoais:

71 leads no funil
35 leads quentes
26 novos contatos nos últimos 7 dias

Quando há demanda ativa, o imóvel bem apresentado ganha força. Fale com a Priscila para comprar, vender ou avaliar com critério.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-11T12:30-03:00,MCP Imobiliaria Priscila,
18,PENDENTE_REVISAO,instagram,story_noticia,Comprar com critério,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\noticias\03-comprar-com-criterio-story.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/03-comprar-com-criterio-story.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/noticias/03-comprar-com-criterio-story.jpg,"Comprar bem é uma decisão de critério: simular, conferir documentação e visitar com calma.

Fale com a Priscila para entender qual imóvel faz sentido para o seu momento.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-11T19:30-03:00,Orientação interna,
19,PENDENTE_REVISAO,instagram,noticia_financiamento,MCMV: novas condições,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\01-mcmv-novas-condicoes.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/01-mcmv-novas-condicoes.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/01-mcmv-novas-condicoes.jpg,"Financiamento muda a forma de olhar um imóvel. A CAIXA informou novas condições do Minha Casa, Minha Vida, com renda mensal de até R$ 13 mil e teto citado de até R$ 600 mil para a classe média. Antes de decidir, simule entrada, prazo e parcela.

Fonte: CAIXA Notícias, 17/04/2026, atualizada em 02/07/2026.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-03T08:45-03:00,https://caixanoticias.caixa.gov.br/Paginas/Not%C3%ADcias/2026/04-ABRIL/CAIXA-inicia-opera%C3%A7%C3%A3o-das-novas-condi%C3%A7%C3%B5es-do-Minha-Casa%2C-Minha-Vida-na-pr%C3%B3xima-quarta-feira-%2822%29.aspx,
20,PENDENTE_REVISAO,instagram,noticia_juros,"Selic em 14,25%",C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\02-selic-1425-criterio.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/02-selic-1425-criterio.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/02-selic-1425-criterio.jpg,"A Selic em 14,25% ao ano melhora o sinal, mas não elimina a necessidade de critério. Para comprar bem, compare entrada, prazo, parcela, renda e custo total.

Fonte: Agência Brasil, 17/06/2026.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-03T12:30-03:00,https://agenciabrasil.ebc.com.br/economia/noticia/2026-06/copom-reduz-taxa-selic-para-1425-ao-ano,
21,PENDENTE_REVISAO,instagram,noticia_local,VDC em movimento,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\03-vdc-presidente-vargas.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/03-vdc-presidente-vargas.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/03-vdc-presidente-vargas.jpg,"Vitória da Conquista está sempre mudando, e a leitura de um imóvel passa também pelo entorno. A Prefeitura registrou avanço no recapeamento da Avenida Presidente Vargas em 01/07/2026.

Fonte: PMVC.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-03T19:30-03:00,https://www.pmvc.ba.gov.br/page/8/,
22,PENDENTE_REVISAO,instagram,story_ia,Comprar com calma,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\04-story-comprar-com-calma.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/04-story-comprar-com-calma.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/04-story-comprar-com-calma.jpg,Story: comprar com calma. CTA: fale com a Priscila para entender se faz sentido para você.,2026-07-04T08:45-03:00,"Imagem de fundo gerada por IA para uso editorial, sem simular imóvel real.",
23,PENDENTE_REVISAO,instagram,avaliacao,Avaliação online,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\05-avaliacao-online-laudo.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/05-avaliacao-online-laudo.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/05-avaliacao-online-laudo.jpg,"Pensando em vender? Comece por uma estimativa inicial online. Ela ajuda a abrir a conversa com critério. Laudo formal é outro serviço, técnico e pago, quando necessário.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-04T12:30-03:00,Regra interna da sala de marketing da Priscila.,
24,PENDENTE_REVISAO,instagram,crm_termometro,Termômetro da semana,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\06-termometro-semana.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/06-termometro-semana.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/06-termometro-semana.jpg,"Termômetro interno da semana, sem dados pessoais: 71 leads no funil, 35 quentes e 26 novos contatos nos últimos 7 dias. Quando há demanda ativa, apresentação e resposta rápida importam.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-04T19:30-03:00,MCP Imobiliária Priscila,
25,PENDENTE_REVISAO,instagram,bairro,Candeias no radar,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\07-candeias-no-radar.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/07-candeias-no-radar.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/07-candeias-no-radar.jpg,"Candeias segue forte na carteira da Priscila: opções de apartamento e terreno, de R$ 500 mil a R$ 1,6 milhão nos imóveis ativos atuais. Fale com a Priscila para receber a ficha completa.

CRECI-BA 29.231",2026-07-05T08:45-03:00,MCP Imobiliária Priscila,
26,PENDENTE_REVISAO,instagram,vendedor,Vender com critério,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\08-vender-com-criterio.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/08-vender-com-criterio.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/08-vender-com-criterio.jpg,"Vender bem começa antes do anúncio: preço, fotos, descrição, documentação e estratégia precisam conversar. Fale com a Priscila para começar com uma avaliação inicial.",2026-07-05T12:30-03:00,Orientação interna,
27,PENDENTE_REVISAO,instagram,fim_de_semana,Agenda de visitas,C:\Users\Thiago Porto\imbiliaria-priscila\_marketing_ia\criativos\2026-07-03-pacote-instagram-make\automatico-3dias\09-agenda-visitas-fim-de-semana.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/09-agenda-visitas-fim-de-semana.jpg,https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/automatico-3dias/09-agenda-visitas-fim-de-semana.jpg,"Fim de semana é bom para visitar com calma. Defina faixa de valor, compare perfil e olhe além da foto: planta, entorno, manutenção e documentação.

Priscila Vasconcelos | CRECI-BA 29.231",2026-07-05T19:30-03:00,Orientação interna,
